index,appId,image,title,current,currentPeak,allTimePeak,currentPrice,lowerPrice,description,exact,mainStory,portrait
57.,386360,https://cdn.cloudflare.steamstatic.com/steam/apps/386360/capsule_sm_120.jpg?t=1650901377,SMITE,"16,213","19,947","31,169",N/A,N/A,"Join 35+ million players in SMITE, the Battleground of the Gods! Wield Thor’s hammer, turn your foes to stone as Medusa, or flex your divine power as one of 100+ other mythological icons. Become a God and play FREE today!",true,7h 44m ,/games/256px-SmiteVideoGame.jpg
58.,281990,https://cdn.cloudflare.steamstatic.com/steam/apps/281990/capsule_sm_120.jpg?t=1650898630,Stellaris,"16,120","20,520","68,602",CLP$ 18300,CLP$ 4575,"Explore a galaxy full of wonders in this sci-fi grand strategy game from Paradox Development Studios. Interact with diverse alien races, discover strange new worlds with unexpected events and expand the reach of your empire. Each new adventure holds almost limitless possibilities.",true,28h 53m ,/games/37186_Stellaris.jpg
59.,108600,https://cdn.cloudflare.steamstatic.com/steam/apps/108600/capsule_sm_120.jpg?t=1650913135,Project Zomboid,"15,813","20,050","65,505",CLP$ 7700,CLP$ 4500,"Project Zomboid is the ultimate in zombie survival. Alone or in MP: you loot, build, craft, fight, farm and fish in a struggle to survive. A hardcore RPG skillset, a vast map, massively customisable sandbox and a cute tutorial raccoon await the unwary. So how will you die? All it takes is a bite..",true,24h 06m ,/games/1795999-projectzomboidlogo_large.jpg
60.,255710,https://cdn.cloudflare.steamstatic.com/steam/apps/255710/capsule_sm_120.jpg?t=1648835338,Cities: Skylines,"15,752","19,660","60,386",CLP$ 14500,CLP$ 2900,Cities: Skylines is a modern take on the classic city simulation. The game introduces new game play elements to realize the thrill and hardships of creating and maintaining a real city whilst expanding on some well-established tropes of the city building experience.,true,27h 06m ,/games/Cities_Skylines_cover_art.jpg
61.,444200,https://cdn.cloudflare.steamstatic.com/steam/apps/444200/capsule_sm_120.jpg?t=1650538103,World of Tanks Blitz,"15,748","26,707","56,669",N/A,N/A,"Titan Labs is back! Battle in Big Boss mode and Operation Field Test. On top of that, enjoy new tanks and celebrate Lunar New Year!",false,27h 06m ,/games/Cities_Skylines_cover_art.jpg
62.,1091500,https://cdn.cloudflare.steamstatic.com/steam/apps/1091500/capsule_sm_120.jpg?t=1649983337,Cyberpunk 2077,"15,641","19,789","1,054,388",CLP$ 19999 at -50%,CLP$ 19999,"Cyberpunk 2077 is an open-world, action-adventure RPG set in the dark future of Night City — a dangerous megalopolis obsessed with power, glamor, and ceaseless body modification.",false,27h 06m ,/games/Cities_Skylines_cover_art.jpg
63.,427520,https://cdn.cloudflare.steamstatic.com/steam/apps/427520/capsule_sm_120.jpg?t=1648824588,Factorio,"15,627","18,679","34,700",CLP$ 11000,CLP$ 7500,"Factorio is a game about building and creating automated factories to produce items of increasing complexity, within an infinite 2D world. Use your imagination to design your factory, combine simple elements into ingenious structures, and finally protect it from the creatures who don't really like you.",true,23h 20m ,/games/Cyberpunk-2077-2.jpg
64.,377160,https://cdn.cloudflare.steamstatic.com/steam/apps/377160/capsule_sm_120.jpg?t=1648598188,Fallout 4,"15,313","19,270","472,962",CLP$ 13900,CLP$ 3475,"Bethesda Game Studios, the award-winning creators of Fallout 3 and The Elder Scrolls V: Skyrim, welcome you to the world of Fallout 4 – their most ambitious game ever, and the next generation of open-world gaming.",true,66%,/games/Fallout_4.jpg
65.,261550,https://cdn.cloudflare.steamstatic.com/steam/apps/261550/capsule_sm_120.jpg?t=1650626496,Mount &amp; Blade II: Bannerlord,"15,281","18,301","248,216",CLP$ 29900,CLP$ 23920,"The horns sound, the ravens gather. An empire is torn by civil war. Beyond its borders, new kingdoms rise. Gird on your sword, don your armour, summon your followers and ride forth to win glory on the battlefields of Calradia. Establish your hegemony and create a new world out of the ashes of the old.",false,N/A,N/A
66.,1134570,https://cdn.cloudflare.steamstatic.com/steam/apps/1134570/capsule_sm_120.jpg?t=1650466854,F1 2021,"14,410","16,798","25,575",CLP$ 43900,CLP$ 10975,"Every story has a beginning in F1® 2021, the official videogame of the 2021 FIA FORMULA ONE WORLD CHAMPIONSHIP™. Enjoy the stunning new features of F1® 2021, including the thrilling story experience ‘Braking Point’, two-player Career, and get even closer to the grid with ‘Real-Season Start’.",true,9h 33m ,/games/95555_F1_2021.jpg
67.,629520,https://cdn.cloudflare.steamstatic.com/steam/apps/629520/capsule_sm_120.jpg?t=1648598094,Soundpad,"13,822","15,499","17,006",CLP$ 2400,CLP$ 1920,"Play sounds in voice chats in high digital quality. Add sounds or music to your microphone signal so others will hear it, too.",false,N/A,N/A
